key,zh-CN,zh-TW,en-US,es-ES,fr-FR,it-IT,ja-JP,ko-KR
common.cancel,取消,取消,Cancel,,,,,
common.save,保存,,Save,,,,,
,,,,,,,,
,连接,,Connect,,,,,
,已连接,,Connected,,,,,
,未连接,,,,,,,
home.tabBar.home,首页,,Home,,,,,
home.quickView,设备速览,,Quick View,,,,,
,无设备,,No devices,,,,,
,基座,,Base,,,,,
,方向盘,,Wheel,,,,,
,踏板,,Pedals,,,,,
,排档,,Shifter,,,,,
,手刹,,Handbrake,,,,,
,所有设备,,All Devices,,,,,
,查看更多,,read more,,,,,
home.quickEntry,快速入口,,Quick Entry,,,,,
home.news,新闻,,News,,,,,
home.tabBar.devices,设备,,Devices,,,,,
,我的设备,,My Devices,,,,,
home.tabBar.dashboard,仪表,,Dashboard,,,,,
dashboard.mouseMode.title,鼠标模式,,Mouse Mode,,,,,
dashboard.mouseMode.hint,进入面板控制电脑鼠标,,Enter to take over PC mouse control,,,,,
dashboard.run,运行,,RUN,,,,,
dashboard.mouseMode.open,开启,,Open,,,,,
home.tabBar.discover,发现,,Discover,,,,,
home.tabBar.profile,我的,,Profile,,,,,
profile.setting.accountManager,账户管理,,Account Management,,,,,
profile.setting.feedback,意见反馈,,Feedback,,,,,
profile.setting.checkUpdate,检查更新,,Check Updates,,,,,
profile.setting.about,关于,,About,,,,,
profile.setting.signOut,退出,,Sign Out,,,,,
profile.setting.connectSettings,电脑连接设置,,PC Connection Settings,,,,,
profile.setting.language,语言,,Language,,,,,
profile.setting.theme,主题,,Theme,,,,,